Bankhead Station,Ashby Station,Vine City Station,Omni Station,Five Points Station,Georgia State Station,King Memorial Station,Inman Park Station,Edgewood-Candler Park Station
3:10 PM,3:14 PM,3:15 PM,3:16 PM,3:17 PM,3:18 PM,3:20 PM,3:23 PM,3:25 PM
3:24 PM,3:28 PM,3:29 PM,3:30 PM,3:31 PM,3:32 PM,3:34 PM,3:37 PM,3:39 PM
3:34 PM,3:38 PM,3:39 PM,3:40 PM,3:41 PM,3:42 PM,3:44 PM,3:47 PM,3:49 PM
3:44 PM,3:48 PM,3:49 PM,3:50 PM,3:51 PM,3:52 PM,3:54 PM,3:57 PM,3:59 PM
3:54 PM,3:58 PM,3:59 PM,4:00 PM,4:01 PM,4:02 PM,4:04 PM,4:07 PM,4:09 PM
4:04 PM,4:08 PM,4:09 PM,4:10 PM,4:11 PM,4:12 PM,4:14 PM,4:17 PM,4:19 PM
4:14 PM,4:18 PM,4:19 PM,4:20 PM,4:21 PM,4:22 PM,4:24 PM,4:27 PM,4:29 PM
4:24 PM,4:28 PM,4:29 PM,4:30 PM,4:31 PM,4:32 PM,4:34 PM,4:37 PM,4:39 PM
4:34 PM,4:38 PM,4:39 PM,4:40 PM,4:41 PM,4:42 PM,4:44 PM,4:47 PM,4:49 PM
4:44 PM,4:48 PM,4:49 PM,4:50 PM,4:51 PM,4:52 PM,4:54 PM,4:57 PM,4:59 PM
4:54 PM,4:58 PM,4:59 PM,5:00 PM,5:01 PM,5:02 PM,5:04 PM,5:07 PM,5:09 PM
5:04 PM,5:08 PM,5:09 PM,5:10 PM,5:11 PM,5:12 PM,5:14 PM,5:17 PM,5:19 PM
5:14 PM,5:18 PM,5:19 PM,5:20 PM,5:21 PM,5:22 PM,5:24 PM,5:27 PM,5:29 PM
5:24 PM,5:28 PM,5:29 PM,5:30 PM,5:31 PM,5:32 PM,5:34 PM,5:37 PM,5:39 PM
5:34 PM,5:38 PM,5:39 PM,5:40 PM,5:41 PM,5:42 PM,5:44 PM,5:47 PM,5:49 PM
5:44 PM,5:48 PM,5:49 PM,5:50 PM,5:51 PM,5:52 PM,5:54 PM,5:57 PM,5:59 PM
5:54 PM,5:58 PM,5:59 PM,6:00 PM,6:01 PM,6:02 PM,6:04 PM,6:07 PM,6:09 PM
6:04 PM,6:08 PM,6:09 PM,6:10 PM,6:11 PM,6:12 PM,6:14 PM,6:17 PM,6:19 PM
6:14 PM,6:18 PM,6:19 PM,6:20 PM,6:21 PM,6:22 PM,6:24 PM,6:27 PM,6:29 PM
6:24 PM,6:28 PM,6:29 PM,6:30 PM,6:31 PM,6:32 PM,6:34 PM,6:37 PM,6:39 PM
6:34 PM,6:38 PM,6:39 PM,6:40 PM,6:41 PM,6:42 PM,6:44 PM,6:47 PM,6:49 PM
6:44 PM,6:48 PM,6:49 PM,6:50 PM,6:51 PM,6:52 PM,6:54 PM,6:57 PM,6:59 PM
6:54 PM,6:58 PM,6:59 PM,7:00 PM,7:01 PM,7:02 PM,7:04 PM,7:07 PM,7:09 PM
7:06 PM,7:10 PM,7:11 PM,7:12 PM,7:13 PM,7:14 PM,7:16 PM,7:19 PM,7:21 PM
7:18 PM,7:22 PM,7:23 PM,7:24 PM,7:25 PM,7:26 PM,7:28 PM,7:31 PM,7:33 PM
7:30 PM,7:34 PM,7:35 PM,7:36 PM,7:37 PM,7:38 PM,7:40 PM,7:43 PM,7:45 PM
7:42 PM,7:46 PM,7:47 PM,7:48 PM,7:49 PM,7:50 PM,7:52 PM,7:55 PM,7:57 PM
8:04 PM,8:08 PM,8:09 PM,8:10 PM,8:11 PM,8:12 PM,8:14 PM,8:17 PM,8:19 PM
8:19 PM,8:23 PM,8:24 PM,8:25 PM,8:26 PM,8:27 PM,8:29 PM,8:32 PM,8:34 PM
8:39 PM,8:43 PM,8:44 PM,8:45 PM,8:46 PM,8:47 PM,8:49 PM,8:52 PM,8:54 PM
9:07 PM,9:11 PM,9:12 PM,--,--,--,--,--,--
9:27 PM,9:31 PM,9:32 PM,--,--,--,--,--,--
9:47 PM,9:51 PM,9:52 PM,--,--,--,--,--,--
10:07 PM,10:11 PM,10:12 PM,--,--,--,--,--,--
10:27 PM,10:31 PM,10:32 PM,--,--,--,--,--,--
10:47 PM,10:51 PM,10:52 PM,--,--,--,--,--,--
11:07 PM,11:11 PM,11:12 PM,--,--,--,--,--,--
11:27 PM,11:31 PM,11:32 PM,--,--,--,--,--,--
11:47 PM,11:51 PM,11:52 PM,--,--,--,--,--,--
12:07 AM,12:11 AM,12:12 AM,--,--,--,--,--,--
12:26 AM,12:30 AM,12:31 AM,--,--,--,--,--,--
12:47 AM,12:51 AM,12:52 AM,--,--,--,--,--,--
1:07 AM,1:11 AM,1:12 AM,--,--,--,--,--,--
